Probability of death for males by calendar year and by single year of age (ages 0 to 119).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1922,0.072833,0.01436,0.007517,0.005261,0.004214,0.003479,0.002899,0.00246,0.002146,0.001945,0.001848,0.001847,0.001936,0.002106,0.00234,0.002626,0.002938,0.003245,0.003523,0.003774,0.004046,0.004314,0.004493,0.004554,0.004534,0.004481,0.004459,0.004495,0.004618,0.004811,0.005023,0.005228,0.005446,0.005672,0.005908,0.006171,0.006453,0.006723,0.006971,0.007215,0.007464,0.007757,0.008127,0.008596,0.009143,0.00976,0.010395,0.010997,0.011537,0.012056,0.012642,0.013335,0.014105,0.014965,0.015937,0.016997,0.01821,0.019682,0.021464,0.023511,0.025852,0.028327,0.030733,0.032975,0.035205,0.037551,0.040324,0.043786,0.048108,0.053127,0.058783,0.064643,0.070273,0.075442,0.080495,0.085721,0.091817,0.099349,0.108677,0.119392,0.130985,0.14274,0.154299,0.165353,0.176243,0.187505,0.199572,0.212677,0.226844,0.241909,0.257656,0.273849,0.290254,0.306666,0.322897,0.339797,0.357384,0.375671,0.394675,0.414409,0.435129,0.456886,0.47973,0.503716,0.528902,0.555347,0.583115,0.61227,0.642884,0.675028,0.708779,0.744218,0.781429,0.820501,0.861526,0.904602,0.949832,0.997324,1,1
1923,0.075392,0.015449,0.008069,0.00564,0.004515,0.003614,0.002911,0.002396,0.002057,0.001875,0.001826,0.001881,0.002008,0.002182,0.002396,0.002662,0.002968,0.003278,0.003573,0.00385,0.004149,0.00444,0.00464,0.004718,0.00471,0.004677,0.004672,0.0047,0.004783,0.004914,0.005045,0.005187,0.005396,0.005692,0.006049,0.006462,0.006869,0.007201,0.007422,0.007575,0.007715,0.007926,0.008253,0.00874,0.009351,0.010031,0.010718,0.011399,0.012049,0.012692,0.013444,0.014284,0.015082,0.015806,0.016538,0.017277,0.018236,0.019681,0.021751,0.024295,0.02725,0.030233,0.032858,0.034911,0.036676,0.038472,0.040836,0.044107,0.048561,0.053954,0.060051,0.066322,0.072389,0.078,0.083503,0.089328,0.096072,0.104053,0.113547,0.124298,0.13579,0.1477,0.160131,0.172986,0.186283,0.200072,0.214385,0.229219,0.244535,0.260264,0.276327,0.292647,0.309144,0.325747,0.342389,0.359807,0.378033,0.397099,0.417041,0.437893,0.459788,0.482777,0.506916,0.532262,0.558875,0.586819,0.616159,0.646967,0.679316,0.713282,0.748946,0.786393,0.825713,0.866998,0.910348,0.955866,1,1,1,1
1924,0.072234,0.013163,0.00691,0.004845,0.003883,0.003195,0.002659,0.002261,0.00199,0.001831,0.001775,0.001808,0.001919,0.002096,0.002325,0.002601,0.002904,0.003206,0.003491,0.003755,0.004037,0.00431,0.004496,0.004568,0.004557,0.004529,0.004525,0.004534,0.004573,0.004644,0.004705,0.004789,0.004981,0.005315,0.005748,0.006253,0.006737,0.007119,0.007346,0.007473,0.007586,0.00778,0.008087,0.008551,0.009143,0.009784,0.010439,0.011144,0.011893,0.012681,0.013605,0.014581,0.01542,0.016057,0.016607,0.017135,0.017908,0.019198,0.02117,0.023659,0.026536,0.02943,0.032028,0.034137,0.036,0.037926,0.040358,0.043543,0.0477,0.052645,0.058254,0.064073,0.069715,0.074956,0.080137,0.085519,0.09181,0.099613,0.109293,0.120417,0.132418,0.14457,0.156552,0.168055,0.179391,0.191057,0.20345,0.216779,0.231054,0.246111,0.261736,0.277697,0.293767,0.309746,0.325452,0.341909,0.359149,0.377208,0.396122,0.415928,0.436724,0.458561,0.481489,0.505563,0.530841,0.557383,0.585252,0.614515,0.645241,0.677503,0.711378,0.746947,0.784294,0.823509,0.864684,0.907919,0.953315,1,1,1
1925,0.07093,0.012219,0.006431,0.004517,0.003621,0.003013,0.002542,0.002194,0.001959,0.001826,0.001783,0.001824,0.001937,0.002114,0.002341,0.002612,0.002907,0.003202,0.003482,0.003742,0.004017,0.004284,0.004478,0.004576,0.004603,0.004619,0.004651,0.004679,0.004708,0.00475,0.004775,0.004829,0.005,0.005325,0.00576,0.006268,0.006753,0.007136,0.007364,0.007493,0.007612,0.007814,0.008125,0.008589,0.009179,0.009814,0.010469,0.011196,0.011998,0.01286,0.013864,0.014908,0.015797,0.016453,0.017001,0.017533,0.018313,0.019579,0.021485,0.023887,0.026636,0.029426,0.032046,0.034344,0.036505,0.038815,0.041565,0.044839,0.048767,0.053274,0.05838,0.063824,0.069317,0.074724,0.080311,0.086206,0.092988,0.101241,0.111282,0.122723,0.13507,0.147669,0.160216,0.172427,0.184587,0.197143,0.210455,0.224705,0.239897,0.255873,0.272434,0.289365,0.306453,0.323513,0.340377,0.357975,0.37633,0.395467,0.415408,0.436179,0.457988,0.480887,0.504931,0.530178,0.556687,0.584521,0.613747,0.644435,0.676656,0.710489,0.746014,0.783314,0.82248,0.863604,0.906784,0.952124,0.99973,1,1,1
1926,0.072899,0.013884,0.007275,0.005095,0.004082,0.003266,0.002632,0.002168,0.001862,0.001697,0.001654,0.00171,0.001839,0.002022,0.002249,0.002527,0.00284,0.003152,0.003445,0.003715,0.004002,0.004281,0.004485,0.004587,0.004615,0.004631,0.004666,0.004697,0.00473,0.004778,0.004809,0.004872,0.005056,0.005399,0.005858,0.006391,0.006903,0.007316,0.007577,0.007743,0.007902,0.008143,0.00849,0.00898,0.00959,0.010242,0.010919,0.011681,0.012536,0.013463,0.014535,0.015639,0.016577,0.017269,0.017841,0.018416,0.01924,0.020497,0.022323,0.024607,0.027189,0.02986,0.032538,0.035135,0.037755,0.040665,0.043945,0.047447,0.051178,0.055225,0.05969,0.06469,0.070298,0.076586,0.08356,0.091059,0.099177,0.108185,0.118168,0.128989,0.14062,0.152719,0.164912,0.177012,0.189274,0.20208,0.215736,0.230411,0.246123,0.262764,0.280187,0.298226,0.316718,0.335517,0.354485,0.374063,0.394233,0.414975,0.436266,0.458079,0.480983,0.505032,0.530284,0.556798,0.584638,0.61387,0.644563,0.676791,0.710631,0.746162,0.783471,0.822644,0.863776,0.906965,0.952313,0.999929,1,1,1,1
1927,0.065328,0.011302,0.005966,0.004198,0.003367,0.002891,0.002512,0.002215,0.001989,0.001826,0.00173,0.001709,0.001775,0.001932,0.002158,0.00243,0.002716,0.002996,0.003251,0.003483,0.003724,0.003965,0.004156,0.004279,0.004352,0.004425,0.004508,0.004565,0.004594,0.004615,0.004613,0.004648,0.004814,0.005155,0.005621,0.006162,0.006674,0.007081,0.00733,0.007476,0.007616,0.007837,0.008146,0.008577,0.009115,0.009688,0.010295,0.01101,0.011847,0.01278,0.013849,0.014947,0.015907,0.016655,0.0173,0.017973,0.018866,0.020089,0.021742,0.02376,0.026003,0.028367,0.030871,0.033484,0.03624,0.039322,0.042678,0.046079,0.049467,0.052989,0.056806,0.061168,0.066249,0.072185,0.078895,0.086128,0.093814,0.102118,0.11105,0.120558,0.130847,0.141628,0.152378,0.162907,0.173549,0.184798,0.197055,0.210558,0.225363,0.241368,0.258421,0.276346,0.294961,0.314106,0.333626,0.353549,0.373803,0.394309,0.414982,0.435731,0.457518,0.480394,0.504413,0.529634,0.556116,0.583922,0.613118,0.643774,0.675962,0.70976,0.745248,0.782511,0.821636,0.862718,0.905854,0.951147,0.998704,1,1,1
1928,0.06918,0.012416,0.006531,0.004585,0.003676,0.003057,0.002575,0.002213,0.001956,0.001794,0.001723,0.001741,0.001848,0.002041,0.002299,0.002611,0.002942,0.003254,0.003524,0.003756,0.003995,0.004236,0.00443,0.004563,0.00465,0.004734,0.004826,0.004893,0.004935,0.004971,0.004991,0.005046,0.005205,0.005504,0.005907,0.006369,0.006821,0.007227,0.007553,0.00783,0.008129,0.008489,0.008893,0.009352,0.009871,0.010414,0.011011,0.01174,0.01263,0.013643,0.014789,0.015955,0.017002,0.017861,0.018626,0.01946,0.020496,0.021746,0.023269,0.025058,0.027011,0.029163,0.031663,0.034562,0.037805,0.04151,0.045429,0.049171,0.052572,0.055907,0.05945,0.063713,0.069072,0.075799,0.083655,0.092156,0.100988,0.110247,0.119841,0.129795,0.140607,0.151983,0.163129,0.173808,0.184498,0.195888,0.208547,0.222812,0.238771,0.256297,0.275189,0.295213,0.316129,0.337721,0.359786,0.382188,0.404813,0.427537,0.450224,0.472736,0.496372,0.521191,0.547251,0.574613,0.603344,0.633511,0.665186,0.698446,0.733368,0.770037,0.808538,0.848965,0.891414,0.935984,0.982783,1,1,1,1,1
1929,0.067362,0.011982,0.006311,0.004434,0.003556,0.002975,0.002519,0.002172,0.001921,0.001756,0.001676,0.001682,0.001778,0.001964,0.002218,0.002524,0.002849,0.003165,0.003448,0.003702,0.003965,0.004229,0.00444,0.004582,0.004671,0.004752,0.00484,0.004915,0.004978,0.005041,0.005104,0.005191,0.005338,0.005564,0.005857,0.006181,0.006522,0.006894,0.007294,0.00772,0.008195,0.0087,0.00919,0.009649,0.010103,0.010578,0.011125,0.011785,0.012588,0.013511,0.014533,0.015598,0.016659,0.017686,0.018722,0.019878,0.021181,0.022565,0.02403,0.025624,0.027332,0.029277,0.031633,0.034486,0.037753,0.041469,0.045358,0.049075,0.052457,0.055761,0.059287,0.063489,0.068639,0.074966,0.082293,0.090164,0.098405,0.107244,0.116663,0.126591,0.137505,0.148868,0.159631,0.16943,0.178937,0.189137,0.200845,0.214547,0.230372,0.248135,0.267548,0.288275,0.309977,0.332354,0.355125,0.378142,0.40125,0.424284,0.447069,0.469423,0.492894,0.517539,0.543416,0.570586,0.599116,0.629072,0.660525,0.693551,0.728229,0.76464,0.802872,0.843016,0.885167,0.929425,0.975896,1,1,1,1,1
1930,0.064953,0.010899,0.005762,0.004058,0.003256,0.002736,0.002327,0.002012,0.001778,0.001617,0.001532,0.001527,0.001612,0.00179,0.002038,0.002335,0.002647,0.002951,0.003226,0.003475,0.003737,0.003998,0.004195,0.004307,0.004358,0.004389,0.004436,0.004506,0.004614,0.004755,0.004911,0.005073,0.005245,0.005425,0.005621,0.005834,0.006081,0.006379,0.00674,0.007154,0.007617,0.008106,0.008602,0.009092,0.009594,0.010131,0.010731,0.01141,0.012181,0.013037,0.013984,0.01499,0.016011,0.017029,0.018081,0.019217,0.020494,0.021935,0.023568,0.025386,0.027395,0.029558,0.03183,0.034194,0.036701,0.039454,0.042498,0.045799,0.049375,0.053263,0.057515,0.06217,0.067243,0.072762,0.07875,0.085087,0.091908,0.099494,0.107944,0.117095,0.127168,0.137555,0.14736,0.156222,0.164757,0.173881,0.184355,0.196638,0.210854,0.226829,0.244298,0.262949,0.282466,0.302571,0.323003,0.343683,0.364482,0.385262,0.405875,0.426169,0.447478,0.469852,0.493344,0.518011,0.543912,0.571107,0.599663,0.629646,0.661128,0.694185,0.728894,0.765339,0.803606,0.843786,0.885975,0.930274,0.976788,1,1,1
1931,0.06113,0.01013,0.005372,0.00379,0.003043,0.002578,0.002213,0.001933,0.001722,0.001576,0.001495,0.001492,0.001578,0.001758,0.002009,0.002308,0.002616,0.002905,0.003151,0.00336,0.003581,0.003805,0.00397,0.004057,0.004092,0.004106,0.004142,0.004218,0.004357,0.004545,0.004754,0.004963,0.005183,0.005407,0.005641,0.005899,0.006185,0.006489,0.006809,0.007153,0.007523,0.007933,0.008395,0.00892,0.009501,0.01014,0.010818,0.011512,0.01221,0.012933,0.013718,0.014588,0.015537,0.016573,0.017704,0.018928,0.02026,0.021729,0.02335,0.025117,0.027108,0.029241,0.031357,0.033398,0.035482,0.037732,0.040359,0.043516,0.047323,0.0517,0.056522,0.061635,0.066995,0.072543,0.078364,0.08453,0.091206,0.098521,0.106559,0.115222,0.124717,0.134607,0.144208,0.153258,0.162242,0.171876,0.182753,0.195231,0.209412,0.225169,0.242301,0.260571,0.279734,0.299573,0.319881,0.340427,0.361083,0.381706,0.402149,0.422257,0.44337,0.465538,0.488815,0.513256,0.538919,0.565865,0.594158,0.623866,0.655059,0.687812,0.722203,0.758313,0.796228,0.83604,0.877842,0.921734,0.967821,1,1,1
1932,0.058258,0.008747,0.00467,0.00331,0.00266,0.002275,0.001975,0.001748,0.001582,0.001474,0.001422,0.001431,0.001509,0.001655,0.001856,0.002093,0.002342,0.002583,0.002798,0.002992,0.003198,0.003405,0.003564,0.003661,0.003713,0.003752,0.003809,0.003892,0.004015,0.004172,0.004341,0.004517,0.004717,0.004943,0.005193,0.005476,0.005778,0.006075,0.006356,0.00664,0.006942,0.007295,0.007724,0.008249,0.008855,0.009529,0.010237,0.010956,0.011671,0.012403,0.013203,0.014095,0.015065,0.016122,0.017277,0.018503,0.019843,0.021373,0.023127,0.025068,0.027289,0.029611,0.031744,0.033568,0.035285,0.037112,0.039418,0.042457,0.04643,0.051187,0.056439,0.061956,0.067756,0.073765,0.080051,0.086742,0.093931,0.101604,0.109789,0.118462,0.127888,0.137784,0.147603,0.157158,0.166835,0.177192,0.18869,0.201609,0.216032,0.231867,0.248962,0.267138,0.286207,0.305997,0.326346,0.346971,0.367755,0.38857,0.409281,0.429745,0.451232,0.473793,0.497483,0.522357,0.548475,0.575899,0.604694,0.634929,0.666675,0.700009,0.735009,0.77176,0.810348,0.850865,0.893408,0.938079,0.984983,1,1,1
1933,0.058063,0.009036,0.004817,0.00341,0.00274,0.0023,0.001957,0.001702,0.001526,0.001422,0.001383,0.001407,0.001488,0.001622,0.001797,0.002007,0.002237,0.002466,0.002681,0.002882,0.003097,0.003311,0.003481,0.003588,0.003652,0.003705,0.003774,0.003862,0.00398,0.004126,0.00428,0.004443,0.004635,0.004861,0.005117,0.005409,0.005718,0.006011,0.006273,0.006528,0.006794,0.007119,0.007545,0.008102,0.008763,0.009498,0.010255,0.011009,0.011737,0.012465,0.013272,0.01417,0.015099,0.016055,0.017074,0.018124,0.019319,0.020832,0.022743,0.024955,0.027508,0.030099,0.032346,0.034064,0.035519,0.037003,0.039019,0.041904,0.045922,0.050854,0.056313,0.061941,0.067701,0.073462,0.079344,0.085563,0.092296,0.099542,0.107357,0.115693,0.12478,0.134285,0.143634,0.15262,0.16166,0.171359,0.182222,0.194556,0.208453,0.223817,0.240487,0.258268,0.27696,0.296382,0.316359,0.336581,0.356925,0.377256,0.397432,0.417303,0.438169,0.460077,0.483081,0.507235,0.532597,0.559226,0.587188,0.616547,0.647375,0.679743,0.71373,0.749417,0.786888,0.826232,0.867544,0.910921,0.956467,1,1,1
1934,0.063188,0.009736,0.005172,0.003653,0.002934,0.002435,0.002046,0.001756,0.001557,0.001441,0.001398,0.001423,0.001507,0.001643,0.001821,0.002037,0.002274,0.002512,0.002737,0.002947,0.003173,0.003398,0.003573,0.003678,0.003736,0.00378,0.003843,0.003927,0.004046,0.004196,0.004355,0.004522,0.004719,0.004951,0.005213,0.005516,0.005836,0.006133,0.006391,0.006638,0.006897,0.007223,0.00766,0.008239,0.008935,0.009696,0.010485,0.011309,0.012157,0.013034,0.014011,0.015054,0.016055,0.01698,0.017895,0.018818,0.019907,0.021345,0.023231,0.025458,0.028022,0.030618,0.032899,0.034688,0.036236,0.037885,0.040062,0.042963,0.046799,0.05144,0.056463,0.061781,0.067707,0.074274,0.081368,0.089007,0.096892,0.104635,0.112049,0.11936,0.127194,0.135669,0.144366,0.153264,0.162606,0.172709,0.183844,0.19619,0.209828,0.224754,0.240925,0.258277,0.276735,0.296219,0.316646,0.337281,0.357981,0.378595,0.39896,0.418908,0.439854,0.461847,0.484939,0.509186,0.534645,0.561377,0.589446,0.618919,0.649864,0.682358,0.716476,0.752299,0.789914,0.82941,0.870881,0.914425,0.960146,1,1,1
1935,0.058485,0.0084,0.004495,0.003189,0.002564,0.002223,0.001956,0.001753,0.001605,0.001507,0.00146,0.001468,0.001536,0.001665,0.001842,0.002053,0.002276,0.002498,0.002704,0.002896,0.003097,0.0033,0.003472,0.0036,0.003696,0.003792,0.003898,0.003996,0.004087,0.004182,0.004272,0.004385,0.004562,0.004824,0.005151,0.00553,0.00591,0.006244,0.006502,0.006721,0.006946,0.007244,0.007651,0.008201,0.00887,0.009609,0.010374,0.011168,0.011975,0.012808,0.013719,0.014706,0.015719,0.016748,0.017823,0.018966,0.020234,0.02168,0.023338,0.025184,0.027246,0.029426,0.031595,0.033694,0.035828,0.038247,0.04103,0.044055,0.047342,0.050988,0.054779,0.059102,0.064631,0.071641,0.079738,0.088634,0.097506,0.105649,0.112636,0.118967,0.125629,0.133214,0.141509,0.150695,0.160807,0.171823,0.183737,0.196574,0.210394,0.225282,0.241324,0.258593,0.277148,0.297019,0.318219,0.33957,0.360904,0.382034,0.402769,0.422907,0.444053,0.466255,0.489568,0.514047,0.539749,0.566736,0.595073,0.624827,0.656068,0.688872,0.723315,0.759481,0.797455,0.837328,0.879194,0.923154,0.969311,1,1,1
1936,0.059914,0.008434,0.004512,0.003201,0.002573,0.0022,0.001911,0.001695,0.00154,0.001441,0.001399,0.001418,0.001504,0.001658,0.001865,0.002109,0.002365,0.00261,0.002826,0.003018,0.003218,0.003422,0.003588,0.003707,0.00379,0.003871,0.003963,0.004055,0.004153,0.004263,0.004375,0.004509,0.004702,0.00497,0.005297,0.005669,0.006052,0.00642,0.006756,0.00708,0.007429,0.007836,0.008307,0.008857,0.009481,0.010155,0.010878,0.011674,0.012547,0.013493,0.014531,0.01563,0.016733,0.017819,0.018925,0.020104,0.021419,0.022901,0.024582,0.026449,0.02851,0.030705,0.032966,0.035261,0.037657,0.040443,0.043566,0.046713,0.049818,0.053107,0.056438,0.060488,0.066218,0.074064,0.083436,0.093782,0.103957,0.113126,0.120727,0.127387,0.134344,0.142349,0.151143,0.16095,0.171779,0.183565,0.196264,0.209883,0.224484,0.240171,0.25705,0.275215,0.294741,0.315671,0.338019,0.360544,0.38307,0.40541,0.427367,0.448735,0.471172,0.49473,0.519467,0.54544,0.572712,0.601348,0.631415,0.662986,0.696135,0.730942,0.767489,0.805864,0.846157,0.888465,0.932888,0.979532,1,1,1,1
1937,0.05839,0.007971,0.004277,0.00304,0.002445,0.002072,0.001784,0.001567,0.001409,0.001306,0.001258,0.001273,0.00136,0.001522,0.00174,0.001998,0.002265,0.002513,0.002721,0.002897,0.003079,0.003267,0.00342,0.003528,0.003604,0.003673,0.003754,0.003846,0.003956,0.004084,0.004223,0.004378,0.004565,0.004792,0.005056,0.005354,0.005674,0.006006,0.006344,0.006698,0.007087,0.007526,0.008019,0.008575,0.009194,0.009862,0.010583,0.011378,0.012253,0.013203,0.014239,0.015332,0.016438,0.017539,0.018665,0.019875,0.021206,0.022658,0.024247,0.02598,0.027862,0.029892,0.032075,0.034417,0.036935,0.039883,0.043095,0.046162,0.048954,0.051767,0.054563,0.058131,0.063457,0.071027,0.080221,0.090311,0.100197,0.109251,0.11696,0.12383,0.131122,0.139263,0.147591,0.156145,0.165197,0.175088,0.18611,0.198471,0.212288,0.227587,0.244362,0.262574,0.282168,0.303078,0.325224,0.347487,0.369671,0.391566,0.412951,0.433599,0.455279,0.478042,0.501945,0.527042,0.553394,0.581064,0.610117,0.640623,0.672654,0.706286,0.741601,0.778681,0.817615,0.858496,0.90142,0.946491,0.993816,1,1,1
1938,0.055625,0.00726,0.003916,0.002792,0.002248,0.00188,0.001595,0.001384,0.001237,0.001147,0.001113,0.001134,0.001213,0.001346,0.001522,0.001732,0.001953,0.002159,0.002333,0.00248,0.002633,0.002791,0.002922,0.003017,0.003087,0.003153,0.00323,0.003312,0.003406,0.003514,0.003633,0.003767,0.003931,0.004131,0.004365,0.00463,0.004918,0.005226,0.005553,0.005903,0.006293,0.006726,0.007198,0.00771,0.008269,0.008867,0.009524,0.010272,0.011127,0.012072,0.013107,0.014187,0.015261,0.016304,0.017352,0.018485,0.019741,0.021094,0.022556,0.024147,0.025871,0.027762,0.029869,0.03222,0.034807,0.03779,0.041008,0.044136,0.047062,0.050024,0.053013,0.056658,0.061728,0.068607,0.07681,0.085781,0.094636,0.102848,0.109999,0.116509,0.123483,0.131227,0.139083,0.14705,0.155439,0.164654,0.175041,0.18684,0.200173,0.215053,0.231452,0.249307,0.268542,0.289071,0.3108,0.332599,0.354251,0.37553,0.396197,0.416007,0.436807,0.458648,0.48158,0.505659,0.530942,0.557489,0.585364,0.614632,0.645364,0.677632,0.711513,0.747089,0.784443,0.823666,0.864849,0.908091,0.953496,1,1,1
1939,0.051742,0.006033,0.003294,0.002366,0.001909,0.001613,0.001388,0.001228,0.001124,0.001073,0.001069,0.001109,0.001192,0.001315,0.001467,0.001645,0.001835,0.002019,0.002186,0.002337,0.002497,0.002658,0.002784,0.002864,0.002911,0.002951,0.003005,0.003078,0.003181,0.00331,0.003456,0.003611,0.003782,0.003969,0.004174,0.004406,0.004667,0.004956,0.005274,0.005626,0.006017,0.006452,0.00693,0.007455,0.00803,0.008654,0.009337,0.010092,0.010928,0.011841,0.012825,0.01387,0.01497,0.016118,0.017325,0.018641,0.020051,0.021488,0.022936,0.024439,0.026065,0.027879,0.02991,0.032196,0.034731,0.037634,0.040783,0.043946,0.047045,0.050267,0.053664,0.057675,0.06279,0.069271,0.076825,0.084994,0.093318,0.10168,0.10989,0.118085,0.127,0.136464,0.145605,0.154212,0.162794,0.172072,0.182656,0.194923,0.209006,0.22481,0.242169,0.260871,0.280698,0.301445,0.32292,0.344553,0.366172,0.387592,0.408618,0.429049,0.450501,0.473026,0.496677,0.521511,0.547587,0.574966,0.603715,0.6339,0.665595,0.698875,0.733819,0.77051,0.809035,0.849487,0.891961,0.936559,0.983387,1,1,1
1940,0.05286,0.005785,0.003007,0.002003,0.001669,0.001473,0.001321,0.001204,0.001114,0.001051,0.001019,0.001026,0.001084,0.001198,0.001355,0.001535,0.001722,0.00191,0.002089,0.00226,0.002442,0.002621,0.00276,0.002843,0.002887,0.002922,0.002971,0.003038,0.003135,0.003257,0.003397,0.003546,0.003707,0.003878,0.004066,0.004276,0.004521,0.004807,0.005142,0.005523,0.005951,0.006418,0.006914,0.007436,0.007994,0.008599,0.009269,0.010021,0.010867,0.011799,0.012808,0.013881,0.015011,0.016191,0.017433,0.018782,0.020232,0.021729,0.023264,0.024871,0.026633,0.028577,0.030673,0.032933,0.035391,0.038116,0.041129,0.044408,0.047966,0.051851,0.056115,0.060814,0.065987,0.071671,0.077878,0.084494,0.091611,0.099449,0.108079,0.117382,0.127494,0.137986,0.148244,0.158015,0.16772,0.177982,0.189316,0.202027,0.216189,0.231678,0.248304,0.265847,0.284086,0.302821,0.321868,0.341282,0.360987,0.380899,0.400926,0.420972,0.442021,0.464122,0.487328,0.511695,0.537279,0.564143,0.59235,0.621968,0.653066,0.68572,0.720006,0.756006,0.793806,0.833496,0.875171,0.91893,0.964876,1,1,1
1941,0.050969,0.005518,0.002905,0.001968,0.001572,0.001394,0.001256,0.00115,0.001066,0.001003,0.000969,0.000976,0.00104,0.001169,0.001347,0.001551,0.001756,0.001956,0.002139,0.002304,0.00248,0.002654,0.002781,0.002849,0.002874,0.002887,0.002917,0.002968,0.003054,0.00317,0.003303,0.003446,0.003605,0.003777,0.00397,0.004188,0.004438,0.004724,0.005049,0.005415,0.005823,0.006272,0.00676,0.007288,0.00786,0.008485,0.009168,0.009911,0.010717,0.01159,0.012526,0.013532,0.014619,0.015795,0.017056,0.018435,0.019894,0.021364,0.022818,0.024306,0.025927,0.027739,0.029731,0.031929,0.034352,0.037013,0.03993,0.04313,0.046635,0.05046,0.054741,0.059396,0.064228,0.069179,0.074411,0.07986,0.085981,0.093385,0.102351,0.11249,0.123672,0.134964,0.145413,0.154529,0.163009,0.171914,0.182122,0.194146,0.208105,0.223764,0.240781,0.258766,0.277331,0.296139,0.314881,0.333971,0.353332,0.372877,0.392511,0.412137,0.432744,0.454381,0.4771,0.500955,0.526003,0.552303,0.579918,0.608914,0.63936,0.671328,0.704894,0.740139,0.777146,0.816003,0.856803,0.899643,0.944625,0.991857,1,1
1942,0.046008,0.004535,0.002481,0.001909,0.001506,0.001336,0.001202,0.001096,0.001013,0.000951,0.000916,0.00092,0.000976,0.00109,0.00125,0.001429,0.001614,0.001816,0.002031,0.002249,0.002488,0.002714,0.002865,0.002915,0.002893,0.002849,0.002831,0.002851,0.002933,0.003063,0.003213,0.003366,0.003535,0.003716,0.003914,0.004141,0.004399,0.004678,0.004976,0.005301,0.005664,0.006074,0.006538,0.007063,0.007649,0.00829,0.008987,0.009753,0.010594,0.011508,0.012486,0.013528,0.014638,0.015816,0.017063,0.018421,0.019856,0.021286,0.022685,0.024107,0.025641,0.027361,0.029277,0.031427,0.033813,0.036441,0.039296,0.042372,0.04567,0.049228,0.053206,0.057566,0.062131,0.066863,0.071906,0.077151,0.083035,0.090183,0.09887,0.108705,0.11958,0.130537,0.140571,0.149171,0.157063,0.165353,0.174961,0.18643,0.199888,0.215097,0.231707,0.249313,0.267515,0.285962,0.304334,0.323019,0.341931,0.360976,0.380053,0.399056,0.419008,0.439959,0.461957,0.485054,0.509307,0.534773,0.561511,0.589587,0.619066,0.650019,0.68252,0.716646,0.752479,0.790103,0.829608,0.871088,0.914643,0.960375,1,1
1943,0.044896,0.004608,0.002703,0.001986,0.001549,0.001394,0.001268,0.001163,0.001072,0.000997,0.000948,0.000942,0.000998,0.001127,0.001317,0.001516,0.001723,0.00198,0.002294,0.002635,0.003016,0.003357,0.003545,0.003524,0.003354,0.003134,0.002962,0.002862,0.002879,0.002988,0.003124,0.003254,0.003408,0.003583,0.003781,0.004014,0.004281,0.004573,0.004886,0.005228,0.005616,0.006052,0.006518,0.007011,0.007547,0.008125,0.008778,0.009545,0.010447,0.011465,0.012564,0.013715,0.014919,0.016164,0.017457,0.018854,0.02033,0.021805,0.023255,0.024728,0.026346,0.028143,0.030051,0.032076,0.034275,0.036686,0.039408,0.042537,0.04614,0.05019,0.054743,0.059658,0.064744,0.069926,0.075374,0.081119,0.087568,0.095183,0.1042,0.114317,0.125413,0.136773,0.147689,0.157794,0.167621,0.177971,0.189504,0.2026,0.217338,0.233533,0.250918,0.26919,0.288048,0.307228,0.326487,0.346125,0.366066,0.386227,0.406519,0.426844,0.448187,0.470596,0.494126,0.518832,0.544774,0.572012,0.600613,0.630644,0.662176,0.695285,0.730049,0.766551,0.804879,0.845123,0.887379,0.931748,0.978335,1,1,1
